 [len(F2I),
                                     len(F2I) * 2,
                                     len(F2I) *2,
                                     len(F2I) ,
                                     len(L2I)])

 0.665829911391277 0.908311910882605 0.8366666666666667
1 0.31036447851984766 0.9443016281062554 0.8533333333333334
2 0.2294169636551787 0.9584404455869752 0.85
3 0.1812203193850081 0.9665809768637532 0.85
4 0.1479935198886156 0.9708654670094259 0.8433333333333334
5 0.12120950232582747 0.9820051413881749 0.8466666666666667
6 0.10062767864720895 0.9867180805484147 0.8533333333333334
7 0.08468936667185216 0.9922879177377892 0.8333333333333334
8 0.0713812474614673 0.9948586118251928 0.83
9 0.059782637568717364 0.9957155098543273 0.8333333333333334
10 0.050780481680880195 0.9957155098543273 0.85
11 0.043347390919842715 0.998286203941731 0.8333333333333334
12 0.037690542680714534 0.998286203941731 0.8366666666666667
